Core, 0
Cumulative Cycles, 30182141            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.66264
Periodic Cycles, 14977622            
Periodic Instructions, 9999996             
Periodic IPC, 0.66766

PREF_DL0REQ_QUEUE_HIT_BY_DEMAND_count,             0
PREF_DL0REQ_QUEUE_HIT_BY_DEMAND_total_count,             0

PREF_UMLC_REQ_QUEUE_HIT_BY_DEMAND_count,             0
PREF_UMLC_REQ_QUEUE_HIT_BY_DEMAND_total_count,             0

PREF_UL1REQ_QUEUE_HIT_BY_DEMAND_count,             0
PREF_UL1REQ_QUEUE_HIT_BY_DEMAND_total_count,             0

PREF_DL0REQ_QUEUE_FULL_count,             0
PREF_DL0REQ_QUEUE_FULL_total_count,             0

PREF_UMLC_REQ_QUEUE_FULL_count,             0
PREF_UMLC_REQ_QUEUE_FULL_total_count,             0

PREF_UL1REQ_QUEUE_FULL_count,             0
PREF_UL1REQ_QUEUE_FULL_total_count,             0

PREF_DC_HIT_NOSEND_count,             0
PREF_DC_HIT_NOSEND_total_count,             0

PREF_WBQDC_HIT_NOSEND_count,             0
PREF_WBQDC_HIT_NOSEND_total_count,             0

PREF_MLCQ_STALL_count,             0
PREF_MLCQ_STALL_total_count,             0

PREF_L1Q_STALL_count,             0
PREF_L1Q_STALL_total_count,             0

PREF_UMLC_REQ_SEND_QUEUE_STALL_count,             0
PREF_UMLC_REQ_SEND_QUEUE_STALL_total_count,             0

PREF_UL1REQ_SEND_QUEUE_STALL_count,             0
PREF_UL1REQ_SEND_QUEUE_STALL_total_count,             0

PREF_UMLC_REQ_QUEUE_SENTREQ_count,             0
PREF_UMLC_REQ_QUEUE_SENTREQ_total_count,             0

PREF_UL1REQ_QUEUE_SENTREQ_count,             0
PREF_UL1REQ_QUEUE_SENTREQ_total_count,             0

PREF_NEWREQ_MATCHED_count,             0
PREF_NEWREQ_MATCHED_total_count,             0

PREF_UMLC_REQ_QUEUE_MATCHED_REQ_count,             0
PREF_UMLC_REQ_QUEUE_MATCHED_REQ_total_count,             0

PREF_UL1REQ_QUEUE_MATCHED_REQ_count,             0
PREF_UL1REQ_QUEUE_MATCHED_REQ_total_count,             0

PREF_DL0REQ_QUEUE_MATCHED_REQ_count,             0
PREF_DL0REQ_QUEUE_MATCHED_REQ_total_count,             0

L1_PREF_HIT_count,             0
L1_PREF_HIT_total_count,             0

L1_PREF_UNIQUE_HIT_count,             0
L1_PREF_UNIQUE_HIT_total_count,             0

L1_PREF_LATE_count,             0
L1_PREF_LATE_total_count,             0

L1_LATE_PREF_CYCLES_count,             0
L1_LATE_PREF_CYCLES_total_count,             0

L1_LATE_PREF_CYCLES_DIST_0_count,             0
L1_LATE_PREF_CYCLES_DIST_0_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_0_total_count,             0
L1_LATE_PREF_CYCLES_DIST_0_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_100_count,             0
L1_LATE_PREF_CYCLES_DIST_100_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_100_total_count,             0
L1_LATE_PREF_CYCLES_DIST_100_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_200_count,             0
L1_LATE_PREF_CYCLES_DIST_200_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_200_total_count,             0
L1_LATE_PREF_CYCLES_DIST_200_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_300_count,             0
L1_LATE_PREF_CYCLES_DIST_300_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_300_total_count,             0
L1_LATE_PREF_CYCLES_DIST_300_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_400_count,             0
L1_LATE_PREF_CYCLES_DIST_400_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_400_total_count,             0
L1_LATE_PREF_CYCLES_DIST_400_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_500_count,             0
L1_LATE_PREF_CYCLES_DIST_500_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_500_total_count,             0
L1_LATE_PREF_CYCLES_DIST_500_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_600_count,             0
L1_LATE_PREF_CYCLES_DIST_600_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_600_total_count,             0
L1_LATE_PREF_CYCLES_DIST_600_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_700_count,             0
L1_LATE_PREF_CYCLES_DIST_700_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_700_total_count,             0
L1_LATE_PREF_CYCLES_DIST_700_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_800_count,             0
L1_LATE_PREF_CYCLES_DIST_800_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_800_total_count,             0
L1_LATE_PREF_CYCLES_DIST_800_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_900_count,             0
L1_LATE_PREF_CYCLES_DIST_900_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_900_total_count,             0
L1_LATE_PREF_CYCLES_DIST_900_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_1000_count,             0
L1_LATE_PREF_CYCLES_DIST_1000_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_1000_total_count,             0
L1_LATE_PREF_CYCLES_DIST_1000_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_1100_count,             0
L1_LATE_PREF_CYCLES_DIST_1100_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_1100_total_count,             0
L1_LATE_PREF_CYCLES_DIST_1100_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_1200_count,             0
L1_LATE_PREF_CYCLES_DIST_1200_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_1200_total_count,             0
L1_LATE_PREF_CYCLES_DIST_1200_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_1300_count,             0
L1_LATE_PREF_CYCLES_DIST_1300_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_1300_total_count,             0
L1_LATE_PREF_CYCLES_DIST_1300_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_1400_count,             0
L1_LATE_PREF_CYCLES_DIST_1400_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_1400_total_count,             0
L1_LATE_PREF_CYCLES_DIST_1400_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_1500_count,             0
L1_LATE_PREF_CYCLES_DIST_1500_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_1500_total_count,             0
L1_LATE_PREF_CYCLES_DIST_1500_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_1600_count,             0
L1_LATE_PREF_CYCLES_DIST_1600_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_1600_total_count,             0
L1_LATE_PREF_CYCLES_DIST_1600_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_1700_count,             0
L1_LATE_PREF_CYCLES_DIST_1700_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_1700_total_count,             0
L1_LATE_PREF_CYCLES_DIST_1700_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_1800_count,             0
L1_LATE_PREF_CYCLES_DIST_1800_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_1800_total_count,             0
L1_LATE_PREF_CYCLES_DIST_1800_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_1900_count,             0
L1_LATE_PREF_CYCLES_DIST_1900_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_1900_total_count,             0
L1_LATE_PREF_CYCLES_DIST_1900_total_pct,         -nan

L1_LATE_PREF_CYCLES_DIST_2000_count,             0
L1_LATE_PREF_CYCLES_DIST_2000_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_2000_total_count,             0
L1_LATE_PREF_CYCLES_DIST_2000_total_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_2000_sum_count,             0
L1_LATE_PREF_CYCLES_DIST_2000_sum_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_2000_sum_total_count,             0
L1_LATE_PREF_CYCLES_DIST_2000_sum_total_pct,         -nan
L1_LATE_PREF_CYCLES_DIST_2000_mean,         -nan
L1_LATE_PREF_CYCLES_DIST_2000_stddev,         -nan
L1_LATE_PREF_CYCLES_DIST_2000_total_mean,         -nan
L1_LATE_PREF_CYCLES_DIST_2000_total_stddev,         -nan

MLC_PREF_HIT_count,            68
MLC_PREF_HIT_total_count,          1194

MLC_PREF_UNIQUE_HIT_count,             0
MLC_PREF_UNIQUE_HIT_total_count,            85

MLC_PREF_LATE_count,             0
MLC_PREF_LATE_total_count,             0

PREF_HYBRID_SEL_0_count,             0
PREF_HYBRID_SEL_0_pct,         -nan
PREF_HYBRID_SEL_0_total_count,             0
PREF_HYBRID_SEL_0_total_pct,         -nan

PREF_HYBRID_SEL_1_count,             0
PREF_HYBRID_SEL_1_pct,         -nan
PREF_HYBRID_SEL_1_total_count,             0
PREF_HYBRID_SEL_1_total_pct,         -nan

PREF_HYBRID_SEL_2_count,             0
PREF_HYBRID_SEL_2_pct,         -nan
PREF_HYBRID_SEL_2_total_count,             0
PREF_HYBRID_SEL_2_total_pct,         -nan

PREF_HYBRID_SEL_3_count,             0
PREF_HYBRID_SEL_3_pct,         -nan
PREF_HYBRID_SEL_3_total_count,             0
PREF_HYBRID_SEL_3_total_pct,         -nan

PREF_HYBRID_SEL_4_count,             0
PREF_HYBRID_SEL_4_pct,         -nan
PREF_HYBRID_SEL_4_total_count,             0
PREF_HYBRID_SEL_4_total_pct,         -nan

PREF_HYBRID_SEL_5_count,             0
PREF_HYBRID_SEL_5_pct,         -nan
PREF_HYBRID_SEL_5_total_count,             0
PREF_HYBRID_SEL_5_total_pct,         -nan

PREF_HYBRID_SEL_6_count,             0
PREF_HYBRID_SEL_6_pct,         -nan
PREF_HYBRID_SEL_6_total_count,             0
PREF_HYBRID_SEL_6_total_pct,         -nan
PREF_HYBRID_SEL_6_sum_count,             0
PREF_HYBRID_SEL_6_sum_pct,         -nan
PREF_HYBRID_SEL_6_sum_total_count,             0
PREF_HYBRID_SEL_6_sum_total_pct,         -nan
PREF_HYBRID_SEL_6_mean,         -nan
PREF_HYBRID_SEL_6_stddev,         -nan
PREF_HYBRID_SEL_6_total_mean,         -nan
PREF_HYBRID_SEL_6_total_stddev,         -nan

PREF_DISTANCE_1_count,             0
PREF_DISTANCE_1_pct,         -nan
PREF_DISTANCE_1_total_count,             0
PREF_DISTANCE_1_total_pct,         -nan

PREF_DISTANCE_2_count,             0
PREF_DISTANCE_2_pct,         -nan
PREF_DISTANCE_2_total_count,             0
PREF_DISTANCE_2_total_pct,         -nan

PREF_DISTANCE_3_count,             0
PREF_DISTANCE_3_pct,         -nan
PREF_DISTANCE_3_total_count,             0
PREF_DISTANCE_3_total_pct,         -nan

PREF_DISTANCE_4_count,             0
PREF_DISTANCE_4_pct,         -nan
PREF_DISTANCE_4_total_count,             0
PREF_DISTANCE_4_total_pct,         -nan

PREF_DISTANCE_5_count,             0
PREF_DISTANCE_5_pct,         -nan
PREF_DISTANCE_5_total_count,             0
PREF_DISTANCE_5_total_pct,         -nan

PREF_DISTANCE_6_count,             0
PREF_DISTANCE_6_pct,         -nan
PREF_DISTANCE_6_total_count,             0
PREF_DISTANCE_6_total_pct,         -nan

PREF_DISTANCE_7_count,             0
PREF_DISTANCE_7_pct,         -nan
PREF_DISTANCE_7_total_count,             0
PREF_DISTANCE_7_total_pct,         -nan

PREF_DISTANCE_8_count,             0
PREF_DISTANCE_8_pct,         -nan
PREF_DISTANCE_8_total_count,             0
PREF_DISTANCE_8_total_pct,         -nan

PREF_DISTANCE_9_count,             0
PREF_DISTANCE_9_pct,         -nan
PREF_DISTANCE_9_total_count,             0
PREF_DISTANCE_9_total_pct,         -nan

PREF_DISTANCE_10_count,             0
PREF_DISTANCE_10_pct,         -nan
PREF_DISTANCE_10_total_count,             0
PREF_DISTANCE_10_total_pct,         -nan
PREF_DISTANCE_10_sum_count,             0
PREF_DISTANCE_10_sum_pct,         -nan
PREF_DISTANCE_10_sum_total_count,             0
PREF_DISTANCE_10_sum_total_pct,         -nan
PREF_DISTANCE_10_mean,         -nan
PREF_DISTANCE_10_stddev,         -nan
PREF_DISTANCE_10_total_mean,         -nan
PREF_DISTANCE_10_total_stddev,         -nan

PREF_REPL_MRU_count,             0
PREF_REPL_MRU_pct,         -nan
PREF_REPL_MRU_total_count,             0
PREF_REPL_MRU_total_pct,         -nan

PREF_REPL_MID_count,             0
PREF_REPL_MID_pct,         -nan
PREF_REPL_MID_total_count,             0
PREF_REPL_MID_total_pct,         -nan

PREF_REPL_LOWQTR_count,             0
PREF_REPL_LOWQTR_pct,         -nan
PREF_REPL_LOWQTR_total_count,             0
PREF_REPL_LOWQTR_total_pct,         -nan

PREF_REPL_LRU_count,             0
PREF_REPL_LRU_pct,         -nan
PREF_REPL_LRU_total_count,             0
PREF_REPL_LRU_total_pct,         -nan
PREF_REPL_LRU_sum_count,             0
PREF_REPL_LRU_sum_pct,         -nan
PREF_REPL_LRU_sum_total_count,             0
