Core, 0
Cumulative Cycles, 6981937             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.86453
Periodic Cycles, 3280620             
Periodic Instructions, 10000000            
Periodic IPC, 3.04820

ICACHE_MISS_count,             0
ICACHE_MISS_pct,        0.000
ICACHE_MISS_total_count,            71
ICACHE_MISS_total_pct,        0.136

ICACHE_HIT_count,         27199
ICACHE_HIT_pct,      100.000
ICACHE_HIT_total_count,         52117
ICACHE_HIT_total_pct,       99.864
ICACHE_HIT_sum_count,         27199
ICACHE_HIT_sum_pct,      100.000
ICACHE_HIT_sum_total_count,         52188
ICACHE_HIT_sum_total_pct,      100.000
ICACHE_HIT_mean,         1.00
ICACHE_HIT_stddev,         1.00
ICACHE_HIT_total_mean,         1.00
ICACHE_HIT_total_stddev,         1.00

ICACHE_MISS_ONPATH_count,             0
ICACHE_MISS_ONPATH_pct,         -nan
ICACHE_MISS_ONPATH_total_count,            35
ICACHE_MISS_ONPATH_total_pct,       49.296

ICACHE_MISS_OFFPATH_count,             0
ICACHE_MISS_OFFPATH_pct,         -nan
ICACHE_MISS_OFFPATH_total_count,            36
ICACHE_MISS_OFFPATH_total_pct,       50.704
ICACHE_MISS_OFFPATH_sum_count,             0
ICACHE_MISS_OFFPATH_sum_pct,         -nan
ICACHE_MISS_OFFPATH_sum_total_count,            71
ICACHE_MISS_OFFPATH_sum_total_pct,      100.000
ICACHE_MISS_OFFPATH_mean,         -nan
ICACHE_MISS_OFFPATH_stddev,         -nan
ICACHE_MISS_OFFPATH_total_mean,         0.51
ICACHE_MISS_OFFPATH_total_stddev,         0.51

ICACHE_MISS_NOT_PREFETCHED_count,             0
ICACHE_MISS_NOT_PREFETCHED_pct,         -nan
ICACHE_MISS_NOT_PREFETCHED_total_count,             2
ICACHE_MISS_NOT_PREFETCHED_total_pct,        2.817

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_pct,         -nan
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_pct,        0.000

