Core, 0
Cumulative Cycles, 7066530             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.83024
Periodic Cycles, 3371048             
Periodic Instructions, 10000000            
Periodic IPC, 2.96644

EXECUTION_TIME_count, 1053452500000
EXECUTION_TIME_total_count, 2208290625000

NODE_CYCLE_count,       3371048
NODE_CYCLE_total_count,       7066530

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,      10000000
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      12931172
NODE_UOP_COUNT_total_count,      25864365

FULL_WINDOW_STALL_count,        157698
FULL_WINDOW_STALL_pct,        4.678
FULL_WINDOW_STALL_total_count,        367861
FULL_WINDOW_STALL_total_pct,        5.206

FULL_WINDOW_MEM_OP_count,         31382
FULL_WINDOW_MEM_OP_pct,       25.749
FULL_WINDOW_MEM_OP_total_count,        130683
FULL_WINDOW_MEM_OP_total_pct,       43.816

FULL_WINDOW_FP_OP_count,         86331
FULL_WINDOW_FP_OP_pct,       70.835
FULL_WINDOW_FP_OP_total_count,        159627
FULL_WINDOW_FP_OP_total_pct,       53.521

FULL_WINDOW_OTHER_OP_count,          4164
FULL_WINDOW_OTHER_OP_pct,        3.417
FULL_WINDOW_OTHER_OP_total_count,          7941
FULL_WINDOW_OTHER_OP_total_pct,        2.663
FULL_WINDOW_OTHER_OP_sum_count,        121877
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        298251
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.78
FULL_WINDOW_OTHER_OP_stddev,         0.33
FULL_WINDOW_OTHER_OP_total_mean,         0.59
FULL_WINDOW_OTHER_OP_total_stddev,         0.39

RET_BLOCKED_DC_MISS_count,         17490
RET_BLOCKED_DC_MISS_pct,        0.519
RET_BLOCKED_DC_MISS_total_count,        152297
RET_BLOCKED_DC_MISS_total_pct,        2.155

RET_BLOCKED_L1_MISS_count,         13461
RET_BLOCKED_L1_MISS_pct,        0.399
RET_BLOCKED_L1_MISS_total_count,        112993
RET_BLOCKED_L1_MISS_total_pct,        1.599

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.000

RET_BLOCKED_L1_ACCESS_count,          4029
RET_BLOCKED_L1_ACCESS_pct,        0.120
RET_BLOCKED_L1_ACCESS_total_count,         39494
RET_BLOCKED_L1_ACCESS_total_pct,        0.559

RET_BLOCKED_MEM_STALL_count,         13461
RET_BLOCKED_MEM_STALL_pct,        0.399
RET_BLOCKED_MEM_STALL_total_count,        113001
RET_BLOCKED_MEM_STALL_total_pct,        1.599

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      14056699
OP_ISSUED_total_count,      28806762

OP_RETIRED_count,      12931172
OP_RETIRED_total_count,      25864365

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,        116647
LD_NO_DEPENDENTS_pct,        3.263
LD_NO_DEPENDENTS_total_count,        235536
LD_NO_DEPENDENTS_total_pct,        3.295

LD_DEPENDENTS_count,       3458057
LD_DEPENDENTS_pct,       96.737
LD_DEPENDENTS_total_count,       6913653
LD_DEPENDENTS_total_pct,       96.705
LD_DEPENDENTS_sum_count,       3574704
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       7149189
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.97
LD_DEPENDENTS_stddev,         0.95
LD_DEPENDENTS_total_mean,         0.97
LD_DEPENDENTS_total_stddev,         0.95

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,         -nan
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,         -nan
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

