Core, 0
Cumulative Cycles, 5254191             
Cumulative Instructions, 20000000            
Cumulative IPC, 3.80649
Periodic Cycles, 2607971             
Periodic Instructions, 9999999             
Periodic IPC, 3.83440

BTB_ON_PATH_MISS_count,         26746
BTB_ON_PATH_MISS_pct,        5.081
BTB_ON_PATH_MISS_total_count,         55414
BTB_ON_PATH_MISS_total_pct,        5.806

BTB_ON_PATH_HIT_count,        499620
BTB_ON_PATH_HIT_pct,       94.919
BTB_ON_PATH_HIT_total_count,        898993
BTB_ON_PATH_HIT_total_pct,       94.194
BTB_ON_PATH_HIT_sum_count,        526366
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,        954407
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.95
BTB_ON_PATH_HIT_stddev,         0.93
BTB_ON_PATH_HIT_total_mean,         0.94
BTB_ON_PATH_HIT_total_stddev,         0.92

BTB_OFF_PATH_MISS_count,         44131
BTB_OFF_PATH_MISS_pct,        9.729
BTB_OFF_PATH_MISS_total_count,         92580
BTB_OFF_PATH_MISS_total_pct,       10.434

BTB_OFF_PATH_HIT_count,        409482
BTB_OFF_PATH_HIT_pct,       90.271
BTB_OFF_PATH_HIT_total_count,        794736
BTB_OFF_PATH_HIT_total_pct,       89.566
BTB_OFF_PATH_HIT_sum_count,        453613
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,        887316
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.90
BTB_OFF_PATH_HIT_stddev,         0.86
BTB_OFF_PATH_HIT_total_mean,         0.90
BTB_OFF_PATH_HIT_total_stddev,         0.85

BTB_ON_PATH_WRITE_count,         12643
BTB_ON_PATH_WRITE_pct,       99.449
BTB_ON_PATH_WRITE_total_count,         29686
BTB_ON_PATH_WRITE_total_pct,       99.148

BTB_OFF_PATH_WRITE_count,            70
BTB_OFF_PATH_WRITE_pct,        0.551
BTB_OFF_PATH_WRITE_total_count,           255
BTB_OFF_PATH_WRITE_total_pct,        0.852
BTB_OFF_PATH_WRITE_sum_count,         12713
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,         29941
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.01
BTB_OFF_PATH_WRITE_stddev,         0.07
BTB_OFF_PATH_WRITE_total_mean,         0.01
BTB_OFF_PATH_WRITE_total_stddev,         0.09

BP_ON_PATH_CORRECT_count,        514502
BP_ON_PATH_CORRECT_pct,       97.746
BP_ON_PATH_CORRECT_total_count,        928679
BP_ON_PATH_CORRECT_total_pct,       97.304

BP_ON_PATH_MISPREDICT_count,         11249
BP_ON_PATH_MISPREDICT_pct,        2.137
BP_ON_PATH_MISPREDICT_total_count,         24167
BP_ON_PATH_MISPREDICT_total_pct,        2.532

BP_ON_PATH_MISFETCH_count,           615
BP_ON_PATH_MISFETCH_pct,        0.117
BP_ON_PATH_MISFETCH_total_count,          1561
