Core, 0
Cumulative Cycles, 14065743            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.42189
Periodic Cycles, 7016118             
Periodic Instructions, 10000000            
Periodic IPC, 1.42529

BTB_ON_PATH_MISS_count,        186461
BTB_ON_PATH_MISS_pct,        8.586
BTB_ON_PATH_MISS_total_count,        383999
BTB_ON_PATH_MISS_total_pct,        9.158

BTB_ON_PATH_HIT_count,       1985332
BTB_ON_PATH_HIT_pct,       91.414
BTB_ON_PATH_HIT_total_count,       3809170
BTB_ON_PATH_HIT_total_pct,       90.842
BTB_ON_PATH_HIT_sum_count,       2171793
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       4193169
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.91
BTB_ON_PATH_HIT_stddev,         0.88
BTB_ON_PATH_HIT_total_mean,         0.91
BTB_ON_PATH_HIT_total_stddev,         0.87

BTB_OFF_PATH_MISS_count,         68439
BTB_OFF_PATH_MISS_pct,       26.219
BTB_OFF_PATH_MISS_total_count,        192693
BTB_OFF_PATH_MISS_total_pct,       26.483

BTB_OFF_PATH_HIT_count,        192592
BTB_OFF_PATH_HIT_pct,       73.781
BTB_OFF_PATH_HIT_total_count,        534929
BTB_OFF_PATH_HIT_total_pct,       73.517
BTB_OFF_PATH_HIT_sum_count,        261031
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,        727622
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.74
BTB_OFF_PATH_HIT_stddev,         0.67
BTB_OFF_PATH_HIT_total_mean,         0.74
BTB_OFF_PATH_HIT_total_stddev,         0.67

BTB_ON_PATH_WRITE_count,         33165
BTB_ON_PATH_WRITE_pct,       99.139
BTB_ON_PATH_WRITE_total_count,         70450
BTB_ON_PATH_WRITE_total_pct,       98.665

BTB_OFF_PATH_WRITE_count,           288
BTB_OFF_PATH_WRITE_pct,        0.861
BTB_OFF_PATH_WRITE_total_count,           953
BTB_OFF_PATH_WRITE_total_pct,        1.335
BTB_OFF_PATH_WRITE_sum_count,         33453
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,         71403
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.01
BTB_OFF_PATH_WRITE_stddev,         0.09
BTB_OFF_PATH_WRITE_total_mean,         0.01
BTB_OFF_PATH_WRITE_total_stddev,         0.11

BP_ON_PATH_CORRECT_count,       2166648
BP_ON_PATH_CORRECT_pct,       99.763
BP_ON_PATH_CORRECT_total_count,       4174636
BP_ON_PATH_CORRECT_total_pct,       99.558

BP_ON_PATH_MISPREDICT_count,          5054
BP_ON_PATH_MISPREDICT_pct,        0.233
BP_ON_PATH_MISPREDICT_total_count,         18353
BP_ON_PATH_MISPREDICT_total_pct,        0.438

BP_ON_PATH_MISFETCH_count,            91
BP_ON_PATH_MISFETCH_pct,        0.004
BP_ON_PATH_MISFETCH_total_count,           180
BP_ON_PATH_MISFETCH_total_pct,        0.004
BP_ON_PATH_MISFETCH_sum_count,       2171793
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       4193169
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.00
BP_ON_PATH_MISFETCH_stddev,         0.05
BP_ON_PATH_MISFETCH_total_mean,         0.00
BP_ON_PATH_MISFETCH_total_stddev,         0.07

BP_OFF_PATH_CORRECT_count,        249440
BP_OFF_PATH_CORRECT_pct,       95.560
BP_OFF_PATH_CORRECT_total_count,        696359
BP_OFF_PATH_CORRECT_total_pct,       95.703

BP_OFF_PATH_MISPREDICT_count,          3235
BP_OFF_PATH_MISPREDICT_pct,        1.239
BP_OFF_PATH_MISPREDICT_total_count,          7663
BP_OFF_PATH_MISPREDICT_total_pct,        1.053

BP_OFF_PATH_MISFETCH_count,          8356
BP_OFF_PATH_MISFETCH_pct,        3.201
BP_OFF_PATH_MISFETCH_total_count,         23600
BP_OFF_PATH_MISFETCH_total_pct,        3.243
BP_OFF_PATH_MISFETCH_sum_count,        261031
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,        727622
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.08
BP_OFF_PATH_MISFETCH_stddev,         0.36
BP_OFF_PATH_MISFETCH_total_mean,         0.08
BP_OFF_PATH_MISFETCH_total_stddev,         0.36

LATE_BP_ON_PATH_CORRECT_count,       2171793
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       4193169
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       2171793
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       4193169
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
LATE_BP_ON_PATH_MISFETCH_total_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_total_stddev,         0.00

LATE_BP_OFF_PATH_CORRECT_count,        261031
LATE_BP_OFF_PATH_CORRECT_pct,      100.000
LATE_BP_OFF_PATH_CORRECT_total_count,        727622
LATE_BP_OFF_PATH_CORRECT_total_pct,      100.000

LATE_BP_OFF_PATH_MISPREDICT_count,             0
LATE_BP_OFF_PATH_MISPREDICT_pct,        0.000
LATE_BP_OFF_PATH_MISPREDICT_total_count,             0
LATE_BP_OFF_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_OFF_PATH_MISFETCH_count,             0
LATE_BP_OFF_PATH_MISFETCH_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_total_count,             0
LATE_BP_OFF_PATH_MISFETCH_total_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_sum_count,        261031
LATE_BP_OFF_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_sum_total_count,        727622
LATE_BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_stddev,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_stddev,         0.00

BP_ON_PATH_CONF_PVN_count,             0
BP_ON_PATH_CONF_PVN_pct,         -nan
BP_ON_PATH_CONF_PVN_total_count,             0
BP_ON_PATH_CONF_PVN_total_pct,         -nan

BP_ON_PATH_CONF_PVN_BOT_count,             0
BP_ON_PATH_CONF_PVN_BOT_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_mean,         -nan
BP_ON_PATH_CONF_PVN_BOT_stddev,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_mean,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_stddev,         -nan

BP_ON_PATH_CONF_PVP_count,             0
BP_ON_PATH_CONF_PVP_pct,         -nan
BP_ON_PATH_CONF_PVP_total_count,             0
BP_ON_PATH_CONF_PVP_total_pct,         -nan

BP_ON_PATH_CONF_PVP_BOT_count,             0
BP_ON_PATH_CONF_PVP_BOT_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_total_count,             0
BP_ON_PATH_CONF_PVP_BOT_total_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_sum_count,             0
BP_ON_PATH_CONF_PVP_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_sum_total_count,             0
BP_ON_PATH_CONF_PVP_BOT_sum_total_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_mean,         -nan
BP_ON_PATH_CONF_PVP_BOT_stddev,         -nan
BP_ON_PATH_CONF_PVP_BOT_total_mean,         -nan
BP_ON_PATH_CONF_PVP_BOT_total_stddev,         -nan

BP_ON_PATH_CONF_SPEC_count,             0
BP_ON_PATH_CONF_SPEC_pct,         -nan
BP_ON_PATH_CONF_SPEC_total_count,             0
BP_ON_PATH_CONF_SPEC_total_pct,         -nan

BP_ON_PATH_CONF_SPEC_BOT_count,             0
BP_ON_PATH_CONF_SPEC_BOT_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_total_count,             0
BP_ON_PATH_CONF_SPEC_BOT_total_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_sum_count,             0
BP_ON_PATH_CONF_SPEC_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_sum_total_count,             0
BP_ON_PATH_CONF_SPEC_BOT_sum_total_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_mean,         -nan
BP_ON_PATH_CONF_SPEC_BOT_stddev,         -nan
BP_ON_PATH_CONF_SPEC_BOT_total_mean,         -nan
BP_ON_PATH_CONF_SPEC_BOT_total_stddev,         -nan

CRS_MISS_ON_PATH_count,            86
CRS_MISS_ON_PATH_pct,        0.126
CRS_MISS_ON_PATH_total_count,           175
CRS_MISS_ON_PATH_total_pct,        0.127

CRS_HIT_ON_PATH_count,         67947
CRS_HIT_ON_PATH_pct,       99.874
CRS_HIT_ON_PATH_total_count,        137316
CRS_HIT_ON_PATH_total_pct,       99.873
CRS_HIT_ON_PATH_sum_count,         68033
CRS_HIT_ON_PATH_sum_pct,      100.000
CRS_HIT_ON_PATH_sum_total_count,        137491
CRS_HIT_ON_PATH_sum_total_pct,      100.000
CRS_HIT_ON_PATH_mean,         1.00
CRS_HIT_ON_PATH_stddev,         1.00
CRS_HIT_ON_PATH_total_mean,         1.00
CRS_HIT_ON_PATH_total_stddev,         1.00

CRS_MISS_OFF_PATH_count,          8435
CRS_MISS_OFF_PATH_pct,       56.478
CRS_MISS_OFF_PATH_total_count,         23801
CRS_MISS_OFF_PATH_total_pct,       54.272

CRS_HIT_OFF_PATH_count,          6500
CRS_HIT_OFF_PATH_pct,       43.522
CRS_HIT_OFF_PATH_total_count,         20054
CRS_HIT_OFF_PATH_total_pct,       45.728
CRS_HIT_OFF_PATH_sum_count,         14935
CRS_HIT_OFF_PATH_sum_pct,      100.000
CRS_HIT_OFF_PATH_sum_total_count,         43855
CRS_HIT_OFF_PATH_sum_total_pct,      100.000
CRS_HIT_OFF_PATH_mean,         0.44
CRS_HIT_OFF_PATH_stddev,         0.47
CRS_HIT_OFF_PATH_total_mean,         0.46
CRS_HIT_OFF_PATH_total_stddev,         0.48

CRS_CLOBBER_count,             0
CRS_CLOBBER_total_count,             0

TARG_ON_PATH_MISS_count,          8826
TARG_ON_PATH_MISS_pct,       12.498
TARG_ON_PATH_MISS_total_count,         18809
TARG_ON_PATH_MISS_total_pct,       13.193

TARG_ON_PATH_HIT_count,         61791
TARG_ON_PATH_HIT_pct,       87.502
TARG_ON_PATH_HIT_total_count,        123757
TARG_ON_PATH_HIT_total_pct,       86.807
TARG_ON_PATH_HIT_sum_count,         70617
TARG_ON_PATH_HIT_sum_pct,      100.000
TARG_ON_PATH_HIT_sum_total_count,        142566
TARG_ON_PATH_HIT_sum_total_pct,      100.000
TARG_ON_PATH_HIT_mean,         0.88
TARG_ON_PATH_HIT_stddev,         0.83
TARG_ON_PATH_HIT_total_mean,         0.87
TARG_ON_PATH_HIT_total_stddev,         0.82

TARG_OFF_PATH_MISS_count,         10175
TARG_OFF_PATH_MISS_pct,       80.620
TARG_OFF_PATH_MISS_total_count,         29632
TARG_OFF_PATH_MISS_total_pct,       81.159

TARG_OFF_PATH_HIT_count,          2446
TARG_OFF_PATH_HIT_pct,       19.380
TARG_OFF_PATH_HIT_total_count,          6879
TARG_OFF_PATH_HIT_total_pct,       18.841
TARG_OFF_PATH_HIT_sum_count,         12621
TARG_OFF_PATH_HIT_sum_pct,      100.000
TARG_OFF_PATH_HIT_sum_total_count,         36511
TARG_OFF_PATH_HIT_sum_total_pct,      100.000
TARG_OFF_PATH_HIT_mean,         0.19
TARG_OFF_PATH_HIT_stddev,         0.37
TARG_OFF_PATH_HIT_total_mean,         0.19
TARG_OFF_PATH_HIT_total_stddev,         0.36

TARG_ON_PATH_WRITE_count,         70613
TARG_ON_PATH_WRITE_pct,       98.755
TARG_ON_PATH_WRITE_total_count,        142562
TARG_ON_PATH_WRITE_total_pct,       98.070

TARG_OFF_PATH_WRITE_count,           890
TARG_OFF_PATH_WRITE_pct,        1.245
TARG_OFF_PATH_WRITE_total_count,          2806
TARG_OFF_PATH_WRITE_total_pct,        1.930
TARG_OFF_PATH_WRITE_sum_count,         71503
TARG_OFF_PATH_WRITE_sum_pct,      100.000
TARG_OFF_PATH_WRITE_sum_total_count,        145368
TARG_OFF_PATH_WRITE_sum_total_pct,      100.000
TARG_OFF_PATH_WRITE_mean,         0.01
TARG_OFF_PATH_WRITE_stddev,         0.11
TARG_OFF_PATH_WRITE_total_mean,         0.02
TARG_OFF_PATH_WRITE_total_stddev,         0.14

TARG_HYBRID_CORRECT_TAGLESS_count,             0
TARG_HYBRID_CORRECT_TAGLESS_pct,         -nan
TARG_HYBRID_CORRECT_TAGLESS_total_count,             0
TARG_HYBRID_CORRECT_TAGLESS_total_pct,         -nan

TARG_HYBRID_CORRECT_TAGGED_count,             0
TARG_HYBRID_CORRECT_TAGGED_pct,         -nan
TARG_HYBRID_CORRECT_TAGGED_total_count,             0
TARG_HYBRID_CORRECT_TAGGED_total_pct,         -nan

TARG_HYBRID_MISPRED_TAGLESS_count,             0
TARG_HYBRID_MISPRED_TAGLESS_pct,         -nan
TARG_HYBRID_MISPRED_TAGLESS_total_count,             0
TARG_HYBRID_MISPRED_TAGLESS_total_pct,         -nan

TARG_HYBRID_MISPRED_TAGGED_count,             0
TARG_HYBRID_MISPRED_TAGGED_pct,         -nan
TARG_HYBRID_MISPRED_TAGGED_total_count,             0
TARG_HYBRID_MISPRED_TAGGED_total_pct,         -nan

TARG_HYBRID_NO_PRED_count,             0
TARG_HYBRID_NO_PRED_pct,         -nan
TARG_HYBRID_NO_PRED_total_count,             0
TARG_HYBRID_NO_PRED_total_pct,         -nan
TARG_HYBRID_NO_PRED_sum_count,             0
TARG_HYBRID_NO_PRED_sum_pct,         -nan
TARG_HYBRID_NO_PRED_sum_total_count,             0
TARG_HYBRID_NO_PRED_sum_total_pct,         -nan
TARG_HYBRID_NO_PRED_mean,         -nan
TARG_HYBRID_NO_PRED_stddev,         -nan
TARG_HYBRID_NO_PRED_total_mean,         -nan
TARG_HYBRID_NO_PRED_total_stddev,         -nan

TARG_VP_INDIRECT_MISPRED_count,             0
TARG_VP_INDIRECT_MISPRED_pct,         -nan
TARG_VP_INDIRECT_MISPRED_total_count,             0
TARG_VP_INDIRECT_MISPRED_total_pct,         -nan

TARG_VP_INDIRECT_NOPRED_count,             0
TARG_VP_INDIRECT_NOPRED_pct,         -nan
TARG_VP_INDIRECT_NOPRED_total_count,             0
TARG_VP_INDIRECT_NOPRED_total_pct,         -nan

TARG_VP_INDIRECT_CORRECT_count,             0
TARG_VP_INDIRECT_CORRECT_pct,         -nan
TARG_VP_INDIRECT_CORRECT_total_count,             0
TARG_VP_INDIRECT_CORRECT_total_pct,         -nan
TARG_VP_INDIRECT_CORRECT_sum_count,             0
TARG_VP_INDIRECT_CORRECT_sum_pct,         -nan
TARG_VP_INDIRECT_CORRECT_sum_total_count,             0
TARG_VP_INDIRECT_CORRECT_sum_total_pct,         -nan
TARG_VP_INDIRECT_CORRECT_mean,         -nan
TARG_VP_INDIRECT_CORRECT_stddev,         -nan
TARG_VP_INDIRECT_CORRECT_total_mean,         -nan
TARG_VP_INDIRECT_CORRECT_total_stddev,         -nan

CBR_ON_PATH_CORRECT_count,       1923817
CBR_ON_PATH_CORRECT_pct,       99.762
CBR_ON_PATH_CORRECT_total_count,       3686252
CBR_ON_PATH_CORRECT_total_pct,       99.575

CBR_ON_PATH_MISPREDICT_count,          4580
CBR_ON_PATH_MISPREDICT_pct,        0.238
CBR_ON_PATH_MISPREDICT_total_count,         15752
CBR_ON_PATH_MISPREDICT_total_pct,        0.425
CBR_ON_PATH_MISPREDICT_sum_count,       1928397
CBR_ON_PATH_MISPREDICT_sum_pct,      100.000
CBR_ON_PATH_MISPREDICT_sum_total_count,       3702004
CBR_ON_PATH_MISPREDICT_sum_total_pct,      100.000
CBR_ON_PATH_MISPREDICT_mean,         0.00
CBR_ON_PATH_MISPREDICT_stddev,         0.05
CBR_ON_PATH_MISPREDICT_total_mean,         0.00
CBR_ON_PATH_MISPREDICT_total_stddev,         0.06

CBR_OFF_PATH_CORRECT_count,        198438
CBR_OFF_PATH_CORRECT_pct,       99.070
CBR_OFF_PATH_CORRECT_total_count,        547977
CBR_OFF_PATH_CORRECT_total_pct,       99.155

CBR_OFF_PATH_MISPREDICT_count,          1863
CBR_OFF_PATH_MISPREDICT_pct,        0.930
CBR_OFF_PATH_MISPREDICT_total_count,          4670
CBR_OFF_PATH_MISPREDICT_total_pct,        0.845
CBR_OFF_PATH_MISPREDICT_sum_count,        200301
CBR_OFF_PATH_MISPREDICT_sum_pct,      100.000
CBR_OFF_PATH_MISPREDICT_sum_total_count,        552647
CBR_OFF_PATH_MISPREDICT_sum_total_pct,      100.000
CBR_OFF_PATH_MISPREDICT_mean,         0.01
CBR_OFF_PATH_MISPREDICT_stddev,         0.10
CBR_OFF_PATH_MISPREDICT_total_mean,         0.01
