Core, 0
Cumulative Cycles, 14010252            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.42753
Periodic Cycles, 6996125             
Periodic Instructions, 10000000            
Periodic IPC, 1.42936

EXECUTION_TIME_count, 2186289062500
EXECUTION_TIME_total_count, 4378203750000

NODE_CYCLE_count,       6996125
NODE_CYCLE_total_count,      14010252

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       9049239
NODE_INST_COUNT_FETCHED_total_count,      18262380

NODE_UOP_COUNT_count,      14366670
NODE_UOP_COUNT_total_count,      28263801

FULL_WINDOW_STALL_count,       4285721
FULL_WINDOW_STALL_pct,       61.258
FULL_WINDOW_STALL_total_count,       8403007
FULL_WINDOW_STALL_total_pct,       59.978

FULL_WINDOW_MEM_OP_count,       1068834
FULL_WINDOW_MEM_OP_pct,       36.369
FULL_WINDOW_MEM_OP_total_count,       2095633
FULL_WINDOW_MEM_OP_total_pct,       35.712

FULL_WINDOW_FP_OP_count,       1831652
FULL_WINDOW_FP_OP_pct,       62.325
FULL_WINDOW_FP_OP_total_count,       3694114
FULL_WINDOW_FP_OP_total_pct,       62.952

FULL_WINDOW_OTHER_OP_count,         38401
FULL_WINDOW_OTHER_OP_pct,        1.307
FULL_WINDOW_OTHER_OP_total_count,         78428
FULL_WINDOW_OTHER_OP_total_pct,        1.336
FULL_WINDOW_OTHER_OP_sum_count,       2938887
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,       5868175
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.65
FULL_WINDOW_OTHER_OP_stddev,         0.33
FULL_WINDOW_OTHER_OP_total_mean,         0.66
FULL_WINDOW_OTHER_OP_total_stddev,         0.32

RET_BLOCKED_DC_MISS_count,        888503
RET_BLOCKED_DC_MISS_pct,       12.700
RET_BLOCKED_DC_MISS_total_count,       1770387
RET_BLOCKED_DC_MISS_total_pct,       12.636

RET_BLOCKED_L1_MISS_count,        957531
RET_BLOCKED_L1_MISS_pct,       13.687
RET_BLOCKED_L1_MISS_total_count,       1891974
RET_BLOCKED_L1_MISS_total_pct,       13.504

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.000

RET_BLOCKED_L1_ACCESS_count,        105847
RET_BLOCKED_L1_ACCESS_pct,        1.513
RET_BLOCKED_L1_ACCESS_total_count,        225451
RET_BLOCKED_L1_ACCESS_total_pct,        1.609

RET_BLOCKED_MEM_STALL_count,        968053
RET_BLOCKED_MEM_STALL_pct,       13.837
RET_BLOCKED_MEM_STALL_total_count,       1914952
RET_BLOCKED_MEM_STALL_total_pct,       13.668

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      14654672
OP_ISSUED_total_count,      29212010

OP_RETIRED_count,      14366670
OP_RETIRED_total_count,      28263801

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         54432
LD_NO_DEPENDENTS_pct,        2.247
LD_NO_DEPENDENTS_total_count,        111691
LD_NO_DEPENDENTS_total_pct,        2.278

LD_DEPENDENTS_count,       2368337
LD_DEPENDENTS_pct,       97.753
LD_DEPENDENTS_total_count,       4790775
LD_DEPENDENTS_total_pct,       97.722
LD_DEPENDENTS_sum_count,       2422769
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       4902466
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.98
LD_DEPENDENTS_stddev,         0.97
LD_DEPENDENTS_total_mean,         0.98
LD_DEPENDENTS_total_stddev,         0.97

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,          3005
LD_EXEC_CYCLES_3_pct,       43.894
LD_EXEC_CYCLES_3_total_count,          6133
LD_EXEC_CYCLES_3_total_pct,       44.091

LD_EXEC_CYCLES_4_count,          3841
LD_EXEC_CYCLES_4_pct,       56.106
LD_EXEC_CYCLES_4_total_count,          7777
LD_EXEC_CYCLES_4_total_pct,       55.909
LD_EXEC_CYCLES_4_sum_count,          6846
LD_EXEC_CYCLES_4_sum_pct,      100.000
LD_EXEC_CYCLES_4_sum_total_count,         13910
LD_EXEC_CYCLES_4_sum_total_pct,      100.000
LD_EXEC_CYCLES_4_mean,         3.56
LD_EXEC_CYCLES_4_stddev,         2.71
LD_EXEC_CYCLES_4_total_mean,         3.56
LD_EXEC_CYCLES_4_total_stddev,         2.71

ICACHE_STAGE_STARVED_count,        391891
ICACHE_STAGE_STARVED_pct,       10.456
ICACHE_STAGE_STARVED_total_count,        709623
ICACHE_STAGE_STARVED_total_pct,        9.728

ICACHE_STAGE_NOT_STARVED_count,       3356261
ICACHE_STAGE_NOT_STARVED_pct,       89.544
ICACHE_STAGE_NOT_STARVED_total_count,       6584999
ICACHE_STAGE_NOT_STARVED_total_pct,       90.272
ICACHE_STAGE_NOT_STARVED_sum_count,       3748152
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,       7294622
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         0.90
ICACHE_STAGE_NOT_STARVED_stddev,         0.85
ICACHE_STAGE_NOT_STARVED_total_mean,         0.90
ICACHE_STAGE_NOT_STARVED_total_stddev,         0.86

ICACHE_STAGE_STALLED_count,       3163893
ICACHE_STAGE_STALLED_pct,       45.224
ICACHE_STAGE_STALLED_total_count,       6204023
ICACHE_STAGE_STALLED_total_pct,       44.282

ICACHE_STAGE_NOT_STALLED_count,       3553015
ICACHE_STAGE_NOT_STALLED_pct,       50.785
ICACHE_STAGE_NOT_STALLED_total_count,       6941460
ICACHE_STAGE_NOT_STALLED_total_pct,       49.546

ICACHE_STAGE_OFF_PATH_count,        279217
ICACHE_STAGE_OFF_PATH_pct,        3.991
ICACHE_STAGE_OFF_PATH_total_count,        864769
ICACHE_STAGE_OFF_PATH_total_pct,        6.172
ICACHE_STAGE_OFF_PATH_sum_count,       6996125
ICACHE_STAGE_OFF_PATH_sum_pct,      100.000
ICACHE_STAGE_OFF_PATH_sum_total_count,      14010252
ICACHE_STAGE_OFF_PATH_sum_total_pct,      100.000
ICACHE_STAGE_OFF_PATH_mean,         0.59
ICACHE_STAGE_OFF_PATH_stddev,         0.42
ICACHE_STAGE_OFF_PATH_total_mean,         0.62
ICACHE_STAGE_OFF_PATH_total_stddev,         0.46

DECODE_STAGE_STARVED_count,       6628438
DECODE_STAGE_STARVED_pct,       96.608
DECODE_STAGE_STARVED_total_count,      13110287
DECODE_STAGE_STARVED_total_pct,       96.714

DECODE_STAGE_NOT_STARVED_count,        232732
DECODE_STAGE_NOT_STARVED_pct,        3.392
DECODE_STAGE_NOT_STARVED_total_count,        445376
DECODE_STAGE_NOT_STARVED_total_pct,        3.286
DECODE_STAGE_NOT_STARVED_sum_count,       6861170
DECODE_STAGE_NOT_STARVED_sum_pct,      100.000
DECODE_STAGE_NOT_STARVED_sum_total_count,      13555663
DECODE_STAGE_NOT_STARVED_sum_total_pct,      100.000
DECODE_STAGE_NOT_STARVED_mean,         0.03
DECODE_STAGE_NOT_STARVED_stddev,         0.18
DECODE_STAGE_NOT_STARVED_total_mean,         0.03
DECODE_STAGE_NOT_STARVED_total_stddev,         0.18

DECODE_STAGE_STALLED_count,        249136
DECODE_STAGE_STALLED_pct,        3.561
DECODE_STAGE_STALLED_total_count,        443461
DECODE_STAGE_STALLED_total_pct,        3.165

DECODE_STAGE_NOT_STALLED_count,       6612034
DECODE_STAGE_NOT_STALLED_pct,       94.510
DECODE_STAGE_NOT_STALLED_total_count,      13112202
DECODE_STAGE_NOT_STALLED_total_pct,       93.590

DECODE_STAGE_OFF_PATH_count,        134955
DECODE_STAGE_OFF_PATH_pct,        1.929
DECODE_STAGE_OFF_PATH_total_count,        454589
DECODE_STAGE_OFF_PATH_total_pct,        3.245
DECODE_STAGE_OFF_PATH_sum_count,       6996125
DECODE_STAGE_OFF_PATH_sum_pct,      100.000
DECODE_STAGE_OFF_PATH_sum_total_count,      14010252
DECODE_STAGE_OFF_PATH_sum_total_pct,      100.000
DECODE_STAGE_OFF_PATH_mean,         0.98
DECODE_STAGE_OFF_PATH_stddev,         0.20
DECODE_STAGE_OFF_PATH_total_mean,         1.00
DECODE_STAGE_OFF_PATH_total_stddev,         0.25

UOPQ_STAGE_STARVED_count,        559685
UOPQ_STAGE_STARVED_pct,       15.124
