Core, 0
Cumulative Cycles, 9151404             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.18546
Periodic Cycles, 4479007             
Periodic Instructions, 10000000            
Periodic IPC, 2.23264

EXECUTION_TIME_count, 1399689687500
EXECUTION_TIME_total_count, 2859813750000

NODE_CYCLE_count,       4479007
NODE_CYCLE_total_count,       9151404

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,      10000000
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      12112395
NODE_UOP_COUNT_total_count,      24244625

FULL_WINDOW_STALL_count,        339669
FULL_WINDOW_STALL_pct,        7.584
FULL_WINDOW_STALL_total_count,        767428
FULL_WINDOW_STALL_total_pct,        8.386

FULL_WINDOW_MEM_OP_count,        315490
FULL_WINDOW_MEM_OP_pct,       98.924
FULL_WINDOW_MEM_OP_total_count,        716590
FULL_WINDOW_MEM_OP_total_pct,       99.056

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,        0.000
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,          3431
FULL_WINDOW_OTHER_OP_pct,        1.076
FULL_WINDOW_OTHER_OP_total_count,          6830
FULL_WINDOW_OTHER_OP_total_pct,        0.944
FULL_WINDOW_OTHER_OP_sum_count,        318921
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        723420
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.02
FULL_WINDOW_OTHER_OP_stddev,         0.21
FULL_WINDOW_OTHER_OP_total_mean,         0.02
FULL_WINDOW_OTHER_OP_total_stddev,         0.19

RET_BLOCKED_DC_MISS_count,       1071670
RET_BLOCKED_DC_MISS_pct,       23.927
RET_BLOCKED_DC_MISS_total_count,       2261295
RET_BLOCKED_DC_MISS_total_pct,       24.710

RET_BLOCKED_L1_MISS_count,        340932
RET_BLOCKED_L1_MISS_pct,        7.612
RET_BLOCKED_L1_MISS_total_count,        770693
RET_BLOCKED_L1_MISS_total_pct,        8.422

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.000

RET_BLOCKED_L1_ACCESS_count,        731005
RET_BLOCKED_L1_ACCESS_pct,       16.321
RET_BLOCKED_L1_ACCESS_total_count,       1491460
RET_BLOCKED_L1_ACCESS_total_pct,       16.298

RET_BLOCKED_MEM_STALL_count,        340932
RET_BLOCKED_MEM_STALL_pct,        7.612
RET_BLOCKED_MEM_STALL_total_count,        770706
RET_BLOCKED_MEM_STALL_total_pct,        8.422

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      16021834
OP_ISSUED_total_count,      32257032

OP_RETIRED_count,      12112395
OP_RETIRED_total_count,      24244625

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,        113154
LD_NO_DEPENDENTS_pct,        4.533
LD_NO_DEPENDENTS_total_count,        228876
LD_NO_DEPENDENTS_total_pct,        4.580

LD_DEPENDENTS_count,       2383186
LD_DEPENDENTS_pct,       95.467
LD_DEPENDENTS_total_count,       4768123
LD_DEPENDENTS_total_pct,       95.420
LD_DEPENDENTS_sum_count,       2496340
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       4996999
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.95
LD_DEPENDENTS_stddev,         0.93
LD_DEPENDENTS_total_mean,         0.95
LD_DEPENDENTS_total_stddev,         0.93

