Core, 0
Cumulative Cycles, 4877434             
Cumulative Instructions, 20000000            
Cumulative IPC, 4.10052
Periodic Cycles, 2407300             
Periodic Instructions, 9999998             
Periodic IPC, 4.15403

EXECUTION_TIME_count,  752281250000
EXECUTION_TIME_total_count, 1524198125000

NODE_CYCLE_count,       2407300
NODE_CYCLE_total_count,       4877434

NODE_INST_COUNT_count,       9999998
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       9999998
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      10021203
NODE_UOP_COUNT_total_count,      20042575

FULL_WINDOW_STALL_count,        362358
FULL_WINDOW_STALL_pct,       15.052
FULL_WINDOW_STALL_total_count,        786136
FULL_WINDOW_STALL_total_pct,       16.118

FULL_WINDOW_MEM_OP_count,        122765
FULL_WINDOW_MEM_OP_pct,       47.855
FULL_WINDOW_MEM_OP_total_count,        300959
FULL_WINDOW_MEM_OP_total_pct,       52.623

FULL_WINDOW_FP_OP_count,        133768
FULL_WINDOW_FP_OP_pct,       52.145
FULL_WINDOW_FP_OP_total_count,        270957
FULL_WINDOW_FP_OP_total_pct,       47.377

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,        0.000
FULL_WINDOW_OTHER_OP_total_count,             0
FULL_WINDOW_OTHER_OP_total_pct,        0.000
FULL_WINDOW_OTHER_OP_sum_count,        256533
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        571916
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.52
FULL_WINDOW_OTHER_OP_stddev,         0.35
FULL_WINDOW_OTHER_OP_total_mean,         0.47
FULL_WINDOW_OTHER_OP_total_stddev,         0.36

RET_BLOCKED_DC_MISS_count,        210145
RET_BLOCKED_DC_MISS_pct,        8.729
RET_BLOCKED_DC_MISS_total_count,        479834
RET_BLOCKED_DC_MISS_total_pct,        9.838

RET_BLOCKED_L1_MISS_count,         96628
RET_BLOCKED_L1_MISS_pct,        4.014
RET_BLOCKED_L1_MISS_total_count,        240181
RET_BLOCKED_L1_MISS_total_pct,        4.924

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.000

RET_BLOCKED_L1_ACCESS_count,        113517
RET_BLOCKED_L1_ACCESS_pct,        4.716
RET_BLOCKED_L1_ACCESS_total_count,        239659
RET_BLOCKED_L1_ACCESS_total_pct,        4.914

RET_BLOCKED_MEM_STALL_count,         96628
RET_BLOCKED_MEM_STALL_pct,        4.014
RET_BLOCKED_MEM_STALL_total_count,        240181
RET_BLOCKED_MEM_STALL_total_pct,        4.924

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      10025839
OP_ISSUED_total_count,      20053849

OP_RETIRED_count,      10021203
OP_RETIRED_total_count,      20042575

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,           105
LD_NO_DEPENDENTS_pct,        0.005
LD_NO_DEPENDENTS_total_count,           209
LD_NO_DEPENDENTS_total_pct,        0.005

LD_DEPENDENTS_count,       2087223
LD_DEPENDENTS_pct,       99.995
LD_DEPENDENTS_total_count,       4174537
LD_DEPENDENTS_total_pct,       99.995
LD_DEPENDENTS_sum_count,       2087328
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       4174746
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         1.00
LD_DEPENDENTS_stddev,         1.00
LD_DEPENDENTS_total_mean,         1.00
LD_DEPENDENTS_total_stddev,         1.00

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,         59798
LD_EXEC_CYCLES_3_pct,       48.387
LD_EXEC_CYCLES_3_total_count,        119288
LD_EXEC_CYCLES_3_total_pct,       48.466

LD_EXEC_CYCLES_4_count,         63784
LD_EXEC_CYCLES_4_pct,       51.613
LD_EXEC_CYCLES_4_total_count,        126840
LD_EXEC_CYCLES_4_total_pct,       51.534
LD_EXEC_CYCLES_4_sum_count,        123582
LD_EXEC_CYCLES_4_sum_pct,      100.000
LD_EXEC_CYCLES_4_sum_total_count,        246128
LD_EXEC_CYCLES_4_sum_total_pct,      100.000
LD_EXEC_CYCLES_4_mean,         3.52
LD_EXEC_CYCLES_4_stddev,         2.58
LD_EXEC_CYCLES_4_total_mean,         3.52
LD_EXEC_CYCLES_4_total_stddev,         2.57

ICACHE_STAGE_STARVED_count,            98
