Core, 0
Cumulative Cycles, 6119396             
Cumulative Instructions, 20000000            
Cumulative IPC, 3.26830
Periodic Cycles, 2982309             
Periodic Instructions, 10000000            
Periodic IPC, 3.35311

EXECUTION_TIME_count,  931971562500
EXECUTION_TIME_total_count, 1912311250000

NODE_CYCLE_count,       2982309
NODE_CYCLE_total_count,       6119396

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,      10000000
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      13135440
NODE_UOP_COUNT_total_count,      26271409

FULL_WINDOW_STALL_count,             0
FULL_WINDOW_STALL_pct,        0.000
FULL_WINDOW_STALL_total_count,          2927
FULL_WINDOW_STALL_total_pct,        0.048

FULL_WINDOW_MEM_OP_count,             0
FULL_WINDOW_MEM_OP_pct,         -nan
FULL_WINDOW_MEM_OP_total_count,          2763
FULL_WINDOW_MEM_OP_total_pct,      100.000

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,         -nan
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,         -nan
FULL_WINDOW_OTHER_OP_total_count,             0
FULL_WINDOW_OTHER_OP_total_pct,        0.000
FULL_WINDOW_OTHER_OP_sum_count,             0
FULL_WINDOW_OTHER_OP_sum_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_total_count,          2763
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         -nan
FULL_WINDOW_OTHER_OP_stddev,         -nan
FULL_WINDOW_OTHER_OP_total_mean,         0.00
FULL_WINDOW_OTHER_OP_total_stddev,         0.00

RET_BLOCKED_DC_MISS_count,        188428
RET_BLOCKED_DC_MISS_pct,        6.318
RET_BLOCKED_DC_MISS_total_count,        405683
RET_BLOCKED_DC_MISS_total_pct,        6.629

RET_BLOCKED_L1_MISS_count,             0
RET_BLOCKED_L1_MISS_pct,        0.000
RET_BLOCKED_L1_MISS_total_count,          4732
RET_BLOCKED_L1_MISS_total_pct,        0.077

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.000

RET_BLOCKED_L1_ACCESS_count,        188428
RET_BLOCKED_L1_ACCESS_pct,        6.318
RET_BLOCKED_L1_ACCESS_total_count,        401026
RET_BLOCKED_L1_ACCESS_total_pct,        6.553

RET_BLOCKED_MEM_STALL_count,             0
RET_BLOCKED_MEM_STALL_pct,        0.000
RET_BLOCKED_MEM_STALL_total_count,          4732
RET_BLOCKED_MEM_STALL_total_pct,        0.077

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      13531295
OP_ISSUED_total_count,      27382094

OP_RETIRED_count,      13135440
OP_RETIRED_total_count,      26271409

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         24227
